Protein ID,Protein Name,FungalRV Score,GPI-anchor,Signal Peptide
Q12459,PRM7_YEAST,1.7069401,FALSE,0.000016
Q12504,RKM4_YEAST,-1.7137904,FALSE,0.000001
Q6Q595,SCS22_YEAST,-1.4230784,TRUE,0
Q99207,NOP14_YEAST,-1.3070551,FALSE,0
Q99393,IZH4_YEAST,-0.8096596,FALSE,0.000288
I2HB70,YM16A_YEAST,-0.98524432,FALSE,0.000983
O13549,VPS63_YEAST,-2.4558106,FALSE,0.00002
P00330,ADH1_YEAST,0.351114,FALSE,0
P03962,PYRF_YEAST,-1.8275428,FALSE,0
P04387,GAL80_YEAST,-1.4007118,FALSE,0.000002
P06787,CALM_YEAST,-1.0026388,FALSE,0
P09007,SRD1_YEAST,-0.18772304,FALSE,0
P0C5P6,YL163_YEAST,-0.34544464,FALSE,0.00006
P0CD98,YLL53_YEAST,-2.0415253,FALSE,0
P0CX64,YG22B_YEAST,-0.4349029,FALSE,0
P11938,RAP1_YEAST,-0.55428893,FALSE,0
P16664,RGP1_YEAST,-0.9970836,FALSE,0
P20053,PRP4_YEAST,-2.1368311,FALSE,0
P21827,RCC1_YEAST,-1.4512883,FALSE,0.000004
P23493,MBR1_YEAST,-0.19670816,FALSE,0
P24521,ERG8_YEAST,-0.87596735,FALSE,0
P24783,DBP2_YEAST,-1.7352351,FALSE,0
P25087,ERG6_YEAST,-1.7084652,FALSE,0
P25565,YCA2_YEAST,-1.7886214,FALSE,0
P25694,CDC48_YEAST,-1.4023723,FALSE,0
P27895,CIN8_YEAST,-1.2365011,FALSE,0.000003
P28007,GAR1_YEAST,-1.5141697,FALSE,0.000002
P32288,GLNA_YEAST,-1.5920439,FALSE,0
P32332,OAC1_YEAST,-1.623403,FALSE,0.000168
P32486,KRE6_YEAST,-0.28611896,FALSE,0.000001
P32580,SUV3_YEAST,-1.2415772,FALSE,0
P32791,FRE1_YEAST,-1.6014397,FALSE,0.999732
P33304,AFR1_YEAST,-0.82780764,FALSE,0.000001
P34072,MKS1_YEAST,-1.2207483,FALSE,0
P35210,SPT23_YEAST,-1.2584266,FALSE,0
P36973,APT2_YEAST,-1.71628,FALSE,0
P37292,GLYM_YEAST,-1.3650395,FALSE,0
P38228,TCM62_YEAST,-1.3869224,FALSE,0
P38256,YBU6_YEAST,-0.38201497,FALSE,0.005253
P38315,YBP1_YEAST,-0.97795724,FALSE,0
P38784,VMA22_YEAST,-1.5565226,FALSE,0.000001
P38899,YH18_YEAST,-1.670925,FALSE,0
P38961,RRP8_YEAST,-1.746187,FALSE,0
P39523,YM11_YEAST,-1.2279553,FALSE,0
P39926,SSO2_YEAST,-2.0349717,FALSE,0
P40217,EIF3I_YEAST,-0.31579098,FALSE,0.000001
P40344,ATG3_YEAST,-0.99548473,FALSE,0.000003
P40446,YIQ5_YEAST,-2.191391,FALSE,0.201276
P40538,YIC9_YEAST,-1.8420824,FALSE,0.002017
P40557,EPS1_YEAST,-1.0868366,FALSE,0.999794
P41812,POP1_YEAST,-1.5178673,FALSE,0
P43550,DAK2_YEAST,-0.70155405,FALSE,0
P43575,PAU5_YEAST,-0.71568552,FALSE,0.999428
P43579,IES1_YEAST,-1.0402045,FALSE,0
P43604,ULI1_YEAST,0.52396332,FALSE,0.999752
P43639,CSK2B_YEAST,-1.3222954,FALSE,0.000003
P47104,RAV1_YEAST,-0.96598809,FALSE,0.00144
P47140,AIM25_YEAST,-0.73949258,FALSE,0
P47141,RT26_YEAST,-1.1286508,FALSE,0.000002
P47142,VPS25_YEAST,-1.0326179,FALSE,0
P47153,TDA4_YEAST,-0.70986964,FALSE,0.000003
P48564,MRX6_YEAST,-1.506676,FALSE,0
P51401,RL9B_YEAST,-0.786109,FALSE,0
P51996,YPT32_YEAST,0.14561113,FALSE,0
P52893,ALAT1_YEAST,-1.2535868,FALSE,0.000001
P53071,YGY5_YEAST,-1.1565304,FALSE,0.001132
P53086,KIP3_YEAST,-1.5294437,FALSE,0.000002
P53104,ATG1_YEAST,-1.4800497,FALSE,0
P53127,SNT2_YEAST,-0.89917582,FALSE,0
P53128,MTHR2_YEAST,-1.0353193,FALSE,0
P53309,AP18B_YEAST,-1.1999103,FALSE,0
P53721,RCF2_YEAST,-1.705585,FALSE,0.000002
P53752,YN95_YEAST,-0.89276693,FALSE,0.995925
P53973,HDA1_YEAST,-1.3538825,FALSE,0
P54964,ORN_YEAST,-1.9943008,FALSE,0
P60010,ACT_YEAST,-0.79219931,FALSE,0
Q00539,NAM8_YEAST,-0.52170455,FALSE,0.000004
Q00582,RAGAB_YEAST,-1.8352324,FALSE,0
Q00723,PRP38_YEAST,-1.5844128,FALSE,0.000001
Q03212,EAR1_YEAST,-0.63974634,FALSE,0.510401
Q03407,PKH1_YEAST,-1.0466519,FALSE,0.000233
Q03435,NHP10_YEAST,-2.4096835,FALSE,0
Q03465,RPN4_YEAST,-0.55901751,FALSE,0
Q03496,THADA_YEAST,-1.56101,FALSE,0
Q04081,LCMT1_YEAST,-1.7260276,FALSE,0
Q04304,YMY0_YEAST,0.20600311,FALSE,0
Q04689,AIM32_YEAST,-1.6063331,FALSE,0
Q04773,YMW4_YEAST,-1.1899162,FALSE,0
Q06510,TAZ_YEAST,-1.3613356,FALSE,0.000012
Q06551,ERFB_YEAST,-1.0748208,FALSE,0.000013
Q06677,SWA2_YEAST,-0.40353948,FALSE,0
Q06683,IRC3_YEAST,-1.4557402,FALSE,0.000002
Q07732,ADY3_YEAST,-1.4962035,FALSE,0
Q07951,POC3_YEAST,-1.4385018,FALSE,0.000469
Q08562,ULS1_YEAST,-1.2873402,FALSE,0.000001
Q08650,DGAT2_YEAST,-0.95674906,FALSE,0
Q12021,RAD28_YEAST,-1.4083646,FALSE,0
Q12060,HFI1_YEAST,-1.6114548,FALSE,0.000006
Q12266,YB11A_YEAST,-0.52344553,FALSE,0.000001
Q12301,YD180_YEAST,-1.2759039,FALSE,0.000003
Q12390,GST2_YEAST,-1.3495357,FALSE,0
Q2V2P0,YP145_YEAST,-3.3736874,FALSE,0
Q3E825,YL307_YEAST,0.7747888,FALSE,0
Q6B0V8,IRC16_YEAST,-1.4241075,FALSE,0.001757
Q99299,AIM44_YEAST,-0.47593799,FALSE,0
P00937,TRPG_YEAST,-1.2360191,FALSE,0.000009
P04650,RL39_YEAST,-3.5275789,FALSE,0
P08019,AMYG_YEAST,-0.86497661,FALSE,0.937862
P0C5K9,YB39A_YEAST,-1.6211338,FALSE,0.003674
P0CS90,HSP77_YEAST,-1.022841,FALSE,0
P0CX80,MTCU1_YEAST,-0.22671735,FALSE,0.000074
P0CX99,YFG8_YEAST,-1.6365727,FALSE,0.00001
P15202,CATA_YEAST,-0.3306614,FALSE,0
P15732,UBC5_YEAST,-0.71448386,FALSE,0.000001
P20484,MAK11_YEAST,-1.6361681,FALSE,0.000001
P20604,PP11_YEAST,-1.4331185,FALSE,0
P23641,MPCP_YEAST,-1.5111872,FALSE,0.000008
P24868,CG21_YEAST,-1.4168306,FALSE,0.000047
P25046,MED19_YEAST,-1.0275854,FALSE,0
P25607,YCZ1_YEAST,-0.62238683,FALSE,0.999754
P25610,PAU3_YEAST,-0.92325542,FALSE,0.998805
P25612,AAD3_YEAST,-1.3948907,FALSE,0
P25808,SPB4_YEAST,-1.745898,FALSE,0
P29461,PTP2_YEAST,-1.0522429,FALSE,0
P29496,MCM5_YEAST,-0.79101893,FALSE,0
P30606,ITR2_YEAST,-1.0252407,FALSE,0
P32339,HMX1_YEAST,-1.0801699,FALSE,0
P32559,MSS1_YEAST,-0.97667539,FALSE,0
P32590,HSP79_YEAST,-1.3209933,FALSE,0
P32804,ZRT1_YEAST,-1.2568795,FALSE,0.00007
P32873,BEM3_YEAST,-0.69860992,FALSE,0
P36167,SRL3_YEAST,-1.109439,FALSE,0
P38129,TAF5_YEAST,-1.1941268,FALSE,0
P38182,ATG8_YEAST,-1.0986533,FALSE,0
P38207,APN2_YEAST,-1.3499489,FALSE,0
P38759,VPS29_YEAST,-0.42005173,FALSE,0.109129
P38786,RPP1_YEAST,-1.336572,FALSE,0.000001
P38801,LRP1_YEAST,-0.94119929,FALSE,0
P38833,YHS7_YEAST,-1.7279589,FALSE,0
P39529,YJU6_YEAST,-1.0270091,FALSE,0
P39939,RS26B_YEAST,-0.89716474,FALSE,0
P39996,GTT3_YEAST,-0.44725526,FALSE,0
P40011,RRAAH_YEAST,-1.115352,FALSE,0.00006
P40155,PEX17_YEAST,-1.5495779,FALSE,0.000007
P40188,RGI2_YEAST,-1.1053923,FALSE,0
P40260,MEP1_YEAST,-1.4536212,FALSE,0
P40484,MOB1_YEAST,-1.5652021,FALSE,0.000001
P40511,SPO22_YEAST,-1.1589376,FALSE,0
P40529,AGE2_YEAST,-0.61916918,FALSE,0
P40578,MGA2_YEAST,-1.1939549,FALSE,0
P42941,SERB_YEAST,-1.3967347,FALSE,0.000001
P43123,UAP1_YEAST,-1.2215373,FALSE,0
P43558,OTU1_YEAST,-1.1510021,FALSE,0
P46984,GON7_YEAST,-0.60227126,FALSE,0.000039
P47050,CUL8_YEAST,-1.4934923,FALSE,0
P47081,COX16_YEAST,-2.3386807,FALSE,0.000056
P47087,YJY2_YEAST,-1.3602593,FALSE,0
P47131,YJ55_YEAST,-2.1330293,FALSE,0
P47139,YJ68_YEAST,-0.75360632,FALSE,0.000001
P47152,YJ85_YEAST,-1.4341302,FALSE,0.000021
P53045,ERG25_YEAST,-1.2659953,FALSE,0.000023
P53058,VEL1_YEAST,-0.83214391,FALSE,0.999784
P53059,MNT2_YEAST,-1.1383279,FALSE,0.067311
P53109,AIM14_YEAST,-1.499361,FALSE,0.000003
P53152,MMS2_YEAST,-0.79210934,FALSE,0
P53294,PUS6_YEAST,-1.4417177,FALSE,0
P53330,RT102_YEAST,-0.038420512,FALSE,0
P53583,MPA43_YEAST,-1.1038434,FALSE,0.000001
P53723,YN8B_YEAST,-1.3109504,FALSE,0.000036
P53857,YNX4_YEAST,-0.798473,FALSE,0
P53925,YNL5_YEAST,-1.4826741,FALSE,0.000004
P53939,NIS1_YEAST,-1.1636839,FALSE,0.000004
P53963,YND4_YEAST,-0.70917137,FALSE,0
Q01722,GCR2_YEAST,-0.95645577,FALSE,0.000001
Q02749,YP068_YEAST,-2.0456961,FALSE,0
Q03205,YD042_YEAST,-1.7117327,FALSE,0.000131
Q03210,NGL3_YEAST,-1.8039137,FALSE,0
Q03219,YM44_YEAST,-0.94407079,FALSE,0.000002
Q03533,TDA1_YEAST,-0.49550692,FALSE,0
Q03691,ROT1_YEAST,-0.98185611,TRUE,0.005814
Q03786,GNTK_YEAST,-1.1069727,FALSE,0
Q03833,GIS1_YEAST,-0.94912058,FALSE,0
Q04083,THI74_YEAST,-1.1000656,FALSE,0
Q04338,VTI1_YEAST,-2.0157695,FALSE,0.000001
Q04930,CRF1_YEAST,-0.068379334,FALSE,0.000003
Q05164,HPF1_YEAST,1.6688728,TRUE,0.998891
Q07478,SUB2_YEAST,-1.7317922,FALSE,0
Q07746,YD242_YEAST,-1.9740097,FALSE,0.000002
Q07747,AAD4_YEAST,-1.1539971,FALSE,0
Q07895,YL001_YEAST,-1.3756054,FALSE,0.992926
Q07979,RSC58_YEAST,-1.4499103,FALSE,0
Q08486,YOR72_YEAST,-0.82627829,FALSE,0.003907
Q08749,TIM18_YEAST,-0.99691522,FALSE,0.000009
Q08956,YIG1_YEAST,-0.88098977,FALSE,0
Q08969,GRE1_YEAST,-1.1037819,FALSE,0
Q12121,YD211_YEAST,0.27725767,FALSE,0.000637
Q12152,YP150_YEAST,-1.1477867,FALSE,0
Q12235,YCT1_YEAST,-1.3365572,FALSE,0.00006
Q12318,PSY3_YEAST,-1.5370959,FALSE,0
Q12454,OCA6_YEAST,-1.1188796,FALSE,0
Q12508,RMD5_YEAST,-0.83530006,FALSE,0
Q3E737,YJ047_YEAST,-1.435615,FALSE,0.000011
Q3E7Z0,YN227_YEAST,-2.0212191,FALSE,0.000045
Q3E823,COA2_YEAST,-2.0733563,FALSE,0.975391
Q99222,AFI1_YEAST,-1.2918596,FALSE,0.000006
O14455,RL36B_YEAST,-2.2102061,FALSE,0
P03881,YMRF1_YEAST,-1.7752505,FALSE,0.50645
P05739,RL6B_YEAST,-1.4776854,FALSE,0
P07260,IF4E_YEAST,-1.2589532,FALSE,0
P0C5N0,YF010_YEAST,-0.85401022,FALSE,0
P0CE85,PAU19_YEAST,-0.88234012,FALSE,0.999553
P0CF19,YO162_YEAST,-1.451865,FALSE,0
P0CH08,RL40A_YEAST,-1.9765378,FALSE,0.000004
P10662,RT01_YEAST,-1.4144998,FALSE,0
P12904,AAKG_YEAST,-1.8128161,FALSE,0
P13188,SYQ_YEAST,-0.73395991,FALSE,0
P13298,PYRE_YEAST,-1.6495888,FALSE,0
P14907,NSP1_YEAST,-0.14427131,FALSE,0
P15790,CSK21_YEAST,-1.5054419,FALSE,0.000042
P16965,STF2_YEAST,-0.87681405,FALSE,0
P17255,VATA_YEAST,-1.1551359,FALSE,0
P17695,GLRX2_YEAST,-1.0470666,FALSE,0.000956
P20485,KICH_YEAST,-1.1725893,FALSE,0
P25390,SSK22_YEAST,-1.7456697,FALSE,0
P25637,YIH1_YEAST,-1.2524663,FALSE,0
P26343,DAL80_YEAST,-1.6203921,FALSE,0
P28004,PRP45_YEAST,-0.85338809,FALSE,0
P28519,RAD14_YEAST,-1.625616,FALSE,0
P30402,PYRX_YEAST,-1.6132845,FALSE,0
P32343,SSH4_YEAST,-1.1665117,FALSE,0.000114
P32476,ERG1_YEAST,-1.7726889,FALSE,0.000328
P32908,SMC1_YEAST,-1.3707223,FALSE,0.000004
P33417,IXR1_YEAST,-0.80545627,FALSE,0
P34761,WHI3_YEAST,0.15839351,FALSE,0.00002
P36062,AVT3_YEAST,-0.8990984,FALSE,0
P36094,SPC42_YEAST,-1.4523191,FALSE,0
P37838,NOP4_YEAST,-1.0738149,FALSE,0
P38072,SCO2_YEAST,-1.1026338,FALSE,0
P38187,UBP13_YEAST,-0.78611186,FALSE,0.000001
P38222,RKM3_YEAST,-1.0072804,FALSE,0
P38286,MKAR_YEAST,-1.4474016,FALSE,0.000004
P38719,DBP8_YEAST,-1.9116986,FALSE,0
P38907,CENPN_YEAST,-1.2891593,FALSE,0
P38998,LYS1_YEAST,-1.4347367,FALSE,0
P39003,HXT6_YEAST,-1.4347784,FALSE,0.000543
P40015,ISC1_YEAST,-1.6134456,FALSE,0
P40052,YEQ9_YEAST,0.54208253,FALSE,0.00013
P40091,PEA2_YEAST,-0.99924663,FALSE,0
P40492,FYV10_YEAST,-1.6705798,FALSE,0
P40499,ICE2_YEAST,-1.3352163,FALSE,0.000001
P40503,YII6_YEAST,-1.3831316,FALSE,0.000191
P40545,HIS4_YEAST,-1.2341994,FALSE,0
P40581,GPX3_YEAST,-1.3178842,FALSE,0
P42950,GSM1_YEAST,-1.150835,FALSE,0
P42951,LSB6_YEAST,-1.410787,FALSE,0
P43540,YFG4_YEAST,-1.3489341,FALSE,0
P43545,SNZ3_YEAST,-1.5421998,FALSE,0
P46670,TBCC_YEAST,-0.40742555,FALSE,0
P47025,MDV1_YEAST,-0.86290605,FALSE,0.000016
P47042,IKS1_YEAST,-1.3503222,FALSE,0.000003
P47098,YJ11B_YEAST,-0.37280444,FALSE,0
P50080,AZR1_YEAST,-1.2713246,FALSE,0.000242
P50091,PEX21_YEAST,-0.89811729,FALSE,0
P50276,MUP1_YEAST,-1.0466508,FALSE,0.003897
P51862,ROM2_YEAST,-1.1657438,FALSE,0.000002
P53081,NIF3_YEAST,-1.6239565,FALSE,0
P53094,MDS3_YEAST,-0.59722259,FALSE,0
P53101,STR3_YEAST,-1.2191884,FALSE,0
P53209,YG1A_YEAST,-1.6322321,FALSE,0.000244
P53538,SSU72_YEAST,-0.11583245,FALSE,0.000001
P53744,BIO5_YEAST,-1.4767881,FALSE,0.000276
P53935,NST1_YEAST,-1.1501045,FALSE,0
P69850,DAD3_YEAST,-2.3770611,FALSE,0.000311
Q02199,NUP49_YEAST,-1.246014,FALSE,0
Q02863,UBP16_YEAST,-1.2429526,FALSE,0.583661
Q03281,HEH2_YEAST,-1.0819448,FALSE,0
Q03466,EBS1_YEAST,-1.3487877,FALSE,0
Q03776,PRP42_YEAST,-1.4589491,FALSE,0
Q04215,YM13A_YEAST,-0.57507262,FALSE,0
Q04311,VMS1_YEAST,-1.4056442,FALSE,0
Q04728,ARGJ_YEAST,-0.61638587,FALSE,0.000014
Q04924,GLU2B_YEAST,-1.078657,FALSE,0.999703
Q05080,CYK2_YEAST,-1.2701879,FALSE,0.000001
Q05610,DON1_YEAST,-1.4353359,FALSE,0
Q05790,CRR1_YEAST,-0.72835199,FALSE,0.99866
Q05871,ECI1_YEAST,-0.92817231,FALSE,0
Q06406,LSM6_YEAST,-1.0497974,FALSE,0
Q06580,MLC2_YEAST,-1.3672561,FALSE,0
Q06629,HDA2_YEAST,-1.4808994,FALSE,0
Q06698,YL419_YEAST,-1.3709628,FALSE,0
Q06815,MRL1_YEAST,-0.29600091,FALSE,0.380668
Q06839,LEC1_YEAST,-1.3084663,FALSE,0
Q07807,PUF3_YEAST,-0.74794598,FALSE,0
Q08230,SDHF2_YEAST,-1.535655,FALSE,0
Q08904,RDR1_YEAST,-1.7885555,FALSE,0.000001
Q08923,CTI6_YEAST,-0.42023961,FALSE,0
Q12055,KAD6_YEAST,-1.2129233,FALSE,0
Q12099,FAL1_YEAST,-1.4099284,FALSE,0
Q12191,BUG1_YEAST,-1.1378603,FALSE,0
Q12247,FYV7_YEAST,-2.318566,FALSE,0
Q12346,YPR71_YEAST,-1.189404,FALSE,0.000002
Q12424,YD206_YEAST,-0.88585642,FALSE,0
Q12432,EAF3_YEAST,-1.6875638,FALSE,0
Q3E766,YM175_YEAST,-0.3070774,FALSE,0.000029
Q8TGS8,YM105_YEAST,-0.82620517,FALSE,0.001213
A0A8D9UGQ7,YL79A_YEAST,-2.0336099,FALSE,0.00013
P05373,HEM2_YEAST,-1.5576209,FALSE,0.000003
P06778,RAD52_YEAST,-1.3390145,FALSE,0
P09032,EI2BG_YEAST,-0.87763956,FALSE,0.000001
P09368,PUT1_YEAST,-1.2195619,FALSE,0
P0C5M0,YD320_YEAST,-1.5718068,FALSE,0.039563
P0CE92,PAU8_YEAST,-1.0341012,FALSE,0.999571
P0CX19,YH214_YEAST,0.8799757,TRUE,0.998698
P0CX36,RS4B_YEAST,-1.5266425,FALSE,0
P0CX87,RS32B_YEAST,-3.2650498,FALSE,0.000009
P10592,HSP72_YEAST,-1.5227477,FALSE,0
P13393,TBP_YEAST,-1.704441,FALSE,0
P19807,HNM1_YEAST,-1.0724246,FALSE,0.000341
P20081,FKBP_YEAST,-1.0487007,FALSE,0
P20424,SRP54_YEAST,-1.716433,FALSE,0
P23624,SPO13_YEAST,-1.368891,FALSE,0
P23644,TOM40_YEAST,-0.95063772,FALSE,0
P25334,CYPR_YEAST,-0.51821775,FALSE,0.999762
P25631,YCU1_YEAST,-2.0803646,FALSE,0
P25639,YCV1_YEAST,-1.47545,FALSE,0.999534
P29704,ERG9_YEAST,-2.062805,FALSE,0
P31378,NTH1_YEAST,-1.5748563,FALSE,0
P32364,SMY1_YEAST,-1.4047041,FALSE,0.000001
P32783,MCES_YEAST,-1.3470224,FALSE,0
P35201,CENPC_YEAST,-1.2688272,FALSE,0
P35728,MPE1_YEAST,-1.6671818,FALSE,0
P36022,DYHC_YEAST,-1.1803527,FALSE,0.000003
P36047,SDS22_YEAST,-0.34335957,FALSE,0
P36077,SRX1_YEAST,-2.1384043,FALSE,0.000001
P36124,SET3_YEAST,-1.3280157,FALSE,0.000085
P37265,YCR41_YEAST,-0.96932047,FALSE,0.000008
P38175,RT21_YEAST,-2.9492871,FALSE,0
P38272,SHE3_YEAST,-1.0010586,FALSE,0
P38305,AIM4_YEAST,-1.8260336,FALSE,0
P38616,YGP1_YEAST,0.94587139,FALSE,0.999362
P38625,GUAA_YEAST,-1.6893797,FALSE,0
P38697,IMDH2_YEAST,-1.4506622,FALSE,0
P38758,TDA3_YEAST,-1.0824148,FALSE,0.000607
P38811,TRA1_YEAST,-1.2637019,FALSE,0
P38848,PEX28_YEAST,-1.1078624,FALSE,0
P38904,SPP41_YEAST,-1.0919528,FALSE,0
P39538,UBP12_YEAST,-0.86527878,FALSE,0.000005
P39706,SWD1_YEAST,-1.1426301,FALSE,0
P39707,SEN34_YEAST,-2.0147604,FALSE,0
P39999,YEB4_YEAST,-1.7789245,FALSE,0.000132
P40013,BIM1_YEAST,-1.2189104,FALSE,0
P40036,GIP2_YEAST,-1.4613311,FALSE,0
P40187,PIG2_YEAST,-1.835719,FALSE,0
P40469,MET18_YEAST,-1.2891799,FALSE,0
P40543,ATG45_YEAST,-0.54886425,FALSE,0.000001
P40553,DOT5_YEAST,-1.4188963,FALSE,0
P40886,HXT8_YEAST,-0.98225223,FALSE,0.000204
P41895,T2FA_YEAST,-0.52441437,FALSE,0
P41909,PXA1_YEAST,-1.772584,FALSE,0.000449
P43599,YFI8_YEAST,-1.9591251,FALSE,0.999763
P43616,DUG1_YEAST,-0.61925341,FALSE,0
P43634,CHA4_YEAST,-1.2817716,FALSE,0
P47039,BNA3_YEAST,-0.75469704,FALSE,0
P47046,IRC8_YEAST,-0.26172538,FALSE,0
P47161,VPS70_YEAST,-1.0499828,FALSE,0.000001
P48412,UPF3_YEAST,-1.0416028,FALSE,0
P50944,AVT4_YEAST,-1.1757574,FALSE,0
P53037,PSD2_YEAST,-1.144551,FALSE,0.000001
P53223,CAX4_YEAST,-1.3976222,FALSE,0.000005
P53259,PCP1_YEAST,-1.4485122,FALSE,0
P53304,SLI1_YEAST,-1.4355508,FALSE,0
P53336,YG5X_YEAST,-1.5978196,FALSE,0.000001
P53966,KTR5_YEAST,-1.0870836,FALSE,0.000006
P62651,ERI1_YEAST,-2.4879764,FALSE,0
Q01329,PTA1_YEAST,-1.5906632,FALSE,0
Q02872,YP108_YEAST,-1.8650283,FALSE,0
Q02933,RNY1_YEAST,-0.78785075,FALSE,0.006047
